id,hip,label,proper,aliases,RA_deg,DEC_deg,distance_pc,distance_ly,spect,mag
57194,57367,HIP 57367,,HIP 57367 | Gl 440,176.42007,-64.841517,4.6081,15.02959464,DC:,11.5
112660,113020,HIP 113020,,HIP 113020 | Gl 876,343.319655,-14.263701,4.6887,15.29247637,M5,10.16
117960,,HYG 117960,,GJ 1002,1.682325,-7.539302,4.6992,15.32672275,M5-5.5,13.75
119312,,HYG 119312,,GJ 1245A,298.47333,44.414534,4.717,15.38477852,M5.5 V e,13.41
119313,,HYG 119313,,GJ 1245B,298.4775,44.414552,4.717,15.38477852,m,14.01
118727,,HYG 118727,,Gl 412B,166.402605,43.521487,4.8323,15.76083639,M6  e,14.4
54052,54211,HIP 54211,,HIP 54211 | Gl 412A,166.37313,43.526777,4.848,15.81204288,M2Vvar,8.82
49767,49908,HIP 49908,,HIP 49908 | HD 88230 | Gl 380,152.84403,49.454237,4.8731,15.89390804,K8V,6.6
118676,,HYG 118676,,Gl 388,154.902645,19.870262,4.9044,15.99599486,M4.5Ve,9.4
106098,106440,HIP 106440,,HIP 106440 | HD 204961 | Gl 832,323.391615,-49.009006,4.9537,16.15678977,M1V,8.66
19799,19849,Keid,Keid,HIP 19849 | HD 26965 | HR 1325 | Gl 166A | 40Omi2Eri,63.818055,-7.652871,4.9845,16.25724582,K1V,4.43
1240,1242,HIP 1242,,HIP 1242 | GJ 1005A,3.867045,-16.133807,4.9868,16.26474741,M:,11.49
118282,,HYG 118282,,Gl 166C,63.84282,-7.657504,5.0444,16.45261326,dM4.5e,11.17
118281,,HYG 118281,,HD 26976 | Gl 166B,63.84282,-7.657504,5.0444,16.45261326,DA4,9.52
85951,86214,HIP 86214,,HIP 86214 | Gl 682,264.265935,-44.319215,5.0787,16.56448477,M5,10.94
88327,88601,70    Oph,,HIP 88601 | HD 165341 | HR 6752 | Gl 702A | 70    Oph,271.363695,2.500099,5.0834,16.5798141,K0V SB,4.03
119198,,HYG 119198,,Gl 702B,271.36485,2.498264,5.086,16.58829416,K5 Ve,6
112106,112460,HIP 112460,,HIP 112460 | Gl 873,341.707905,44.333991,5.1224,16.70701494,M4.5Ve,10.29
